|TypeGraph.LaneDevMean|TypeGraph.LaneDevSD|TypeGraph.LaneDevMax|TypeGraph.DirChangeCount|TypeGraph.SteerAngleMean
0|0.5740016666666666|0.4762770656922708|2.33|224|16.949905946321
1|0.5982283333333334|0.508737306283924|2.78|209|18.36377479877216
2|4.21248|7.714180406638005|31.55|201|22.772685032303844
3|0.5412683333333334|0.4679255286694871|2.45|261|16.395091814702653
4|0.9184166666666667|1.4127628756728317|10.87|239|21.79560100567408
5|0.7051366666666666|0.794539508243978|7.3|300|31.90439087813305
6|0.69313|0.8986383931223944|11.24|309|34.372406580659074
7|0.5649733333333333|0.48564844111450456|3.02|224|17.832738415651743
8|0.7964416666666667|1.253772658516592|14.53|252|20.195902841668822
9|0.5711266666666667|0.4858255191198382|2.22|212|17.470724582094917
10|0.5671133333333334|0.48290703075811064|2.3|208|17.692841220673966
11|0.5676766666666667|0.49146240073625685|2.07|212|18.082452521362924
12|0.562065|0.4796370096769451|2.2|208|16.81459241370427
13|0.5586666666666666|0.4779369479090155|2.07|221|16.98189608988247
14|0.591565|0.5081399759392333|2.64|211|17.461748243304534
15|1.20148|2.0202147792315808|11.65|254|24.20259670301867
16|0.5721116666666667|0.4925131325438713|3.15|221|16.93634594516957
17|3.5352016666666666|6.577533852789711|26.75|196|18.741258492797517
18|9.236285|22.086000828297088|141.68|248|38.299363815519875
19|0.8198033333333333|1.1933480246377723|13.37|237|21.93444777802745
20|3.4736766666666665|9.936940827754349|84.58|220|28.796763290309322
21|0.5532816666666667|0.4663633381006805|2.25|233|17.460888806611838
22|0.57476|0.4739614424980466|2.36|209|17.516370219773673
23|0.5243950000000001|0.4513186406456445|2.16|208|16.121217988630118
